R: [55, 65, 57] L: [54, 84, 72]
R: [56, 69, 57] L: [51, 83, 71]
R: [53, 67, 55] L: [51, 85, 72]
R: [56, 67, 57] L: [56, 84, 72]
R: [57, 68, 57] L: [55, 84, 71]
R: [55, 70, 57] L: [55, 83, 71]
R: [55, 68, 54] L: [56, 84, 72]
R: [55, 68, 57] L: [56, 84, 71]
R: [55, 68, 57] L: [54, 84, 70]
R: [56, 68, 56] L: [56, 83, 72]
R: [55, 69, 58] L: [54, 83, 71]
R: [56, 68, 57] L: [55, 82, 70]
R: [52, 66, 56] L: [55, 83, 71]
R: [54, 67, 56] L: [55, 83, 71]
R: [54, 66, 55] L: [57, 83, 71]
R: [53, 67, 57] L: [56, 85, 72]
R: [54, 65, 58] L: [55, 82, 70]
R: [54, 67, 57] L: [55, 83, 70]
R: [54, 67, 56] L: [54, 82, 69]
R: [55, 68, 56] L: [54, 82, 69]
R: [52, 67, 54] L: [54, 82, 70]
R: [54, 67, 56] L: [55, 83, 70]
R: [55, 68, 56] L: [54, 83, 69]
R: [54, 67, 54] L: [53, 83, 69]
R: [54, 68, 57] L: [53, 83, 71]
R: [54, 68, 56] L: [54, 83, 70]
R: [53, 66, 55] L: [57, 83, 72]
R: [54, 67, 56] L: [55, 82, 70]
R: [54, 67, 56] L: [54, 83, 70]
R: [56, 69, 57] L: [54, 83, 70]
R: [52, 67, 54] L: [54, 83, 70]
R: [53, 67, 54] L: [55, 84, 72]
R: [56, 68, 57] L: [55, 83, 70]
R: [54, 68, 57] L: [56, 83, 71]
R: [55, 68, 57] L: [55, 84, 71]
R: [54, 66, 56] L: [55, 84, 71]
R: [54, 67, 55] L: [54, 83, 70]
R: [54, 69, 57] L: [56, 83, 71]
R: [55, 69, 58] L: [54, 84, 70]
R: [54, 68, 57] L: [56, 82, 69]
R: [54, 67, 57] L: [56, 84, 70]
R: [53, 65, 54] L: [56, 84, 72]
R: [54, 70, 56] L: [56, 84, 71]
R: [53, 66, 54] L: [57, 82, 70]
R: [56, 69, 57] L: [57, 83, 71]
R: [54, 67, 57] L: [59, 85, 71]
R: [54, 68, 57] L: [56, 83, 70]
R: [55, 68, 56] L: [57, 85, 71]
R: [55, 69, 57] L: [56, 84, 70]
R: [52, 67, 56] L: [58, 83, 71]
R: [54, 68, 57] L: [55, 84, 70]
R: [53, 67, 57] L: [56, 82, 70]
R: [53, 66, 55] L: [53, 83, 69]
R: [51, 67, 56] L: [55, 82, 70]
R: [53, 67, 55] L: [55, 83, 71]
R: [54, 66, 55] L: [55, 83, 70]
R: [54, 68, 55] L: [55, 83, 70]
R: [56, 68, 56] L: [55, 87, 71]
R: [54, 68, 56] L: [55, 82, 70]
R: [55, 69, 54] L: [51, 81, 64]
R: [55, 73, 56] L: [52, 86, 70]
R: [55, 67, 58] L: [54, 82, 70]
R: [54, 68, 57] L: [56, 84, 71]
R: [56, 67, 57] L: [55, 83, 70]
R: [52, 66, 56] L: [55, 83, 72]
R: [54, 67, 57] L: [55, 82, 71]
R: [52, 66, 55] L: [54, 82, 74]
R: [55, 67, 57] L: [53, 83, 67]
R: [52, 66, 55] L: [55, 83, 70]
R: [56, 70, 58] L: [54, 83, 71]
R: [54, 67, 57] L: [57, 85, 71]
R: [52, 66, 54] L: [55, 83, 71]
R: [54, 66, 56] L: [56, 83, 70]
R: [54, 67, 56] L: [55, 84, 70]
R: [55, 67, 55] L: [55, 84, 71]
R: [54, 67, 55] L: [55, 84, 69]
R: [53, 68, 56] L: [57, 83, 72]
R: [58, 67, 60] L: [56, 84, 70]
R: [54, 68, 55] L: [56, 83, 70]
R: [53, 66, 56] L: [53, 82, 68]
R: [54, 67, 56] L: [58, 84, 72]
R: [54, 67, 56] L: [56, 84, 69]
R: [54, 66, 55] L: [58, 85, 72]
R: [54, 66, 55] L: [56, 84, 70]
R: [54, 68, 56] L: [54, 82, 70]
R: [55, 68, 56] L: [55, 83, 70]
R: [54, 70, 57] L: [56, 84, 71]
R: [54, 67, 56] L: [57, 83, 71]
R: [53, 66, 55] L: [56, 83, 71]
R: [53, 66, 54] L: [55, 85, 74]
R: [54, 66, 56] L: [55, 82, 70]
R: [55, 66, 56] L: [55, 85, 71]
R: [54, 68, 56] L: [54, 83, 71]
R: [55, 68, 56] L: [54, 83, 71]
R: [53, 67, 51] L: [56, 82, 72]
R: [55, 69, 55] L: [54, 83, 69]
R: [55, 69, 57] L: [56, 82, 71]
R: [54, 68, 56] L: [55, 82, 70]
R: [53, 68, 58] L: [53, 85, 72]
R: [53, 67, 56] L: [54, 83, 69]
R: [55, 67, 57] L: [55, 83, 70]
R: [52, 67, 56] L: [54, 83, 71]
R: [55, 66, 56] L: [54, 82, 69]
R: [56, 68, 57] L: [55, 83, 70]
R: [56, 68, 61] L: [54, 83, 69]
R: [54, 68, 56] L: [55, 83, 70]
R: [54, 67, 56] L: [55, 84, 71]
R: [54, 67, 58] L: [56, 83, 70]
R: [56, 67, 55] L: [56, 85, 70]
R: [56, 68, 58] L: [57, 84, 71]
R: [55, 69, 57] L: [56, 85, 71]
R: [54, 68, 56] L: [56, 80, 70]
R: [55, 68, 58] L: [52, 79, 66]
R: [56, 69, 58] L: [53, 85, 72]
R: [54, 69, 56] L: [58, 85, 72]
R: [55, 68, 58] L: [56, 84, 70]
R: [56, 70, 57] L: [56, 84, 70]
R: [54, 66, 56] L: [52, 81, 67]
R: [56, 67, 56] L: [54, 82, 70]
R: [55, 67, 55] L: [53, 83, 70]
R: [55, 69, 56] L: [55, 84, 71]
R: [55, 68, 57] L: [54, 83, 70]
R: [55, 65, 58] L: [56, 84, 70]
R: [55, 68, 54] L: [55, 82, 71]
R: [55, 67, 56] L: [55, 83, 70]
R: [56, 68, 57] L: [56, 84, 70]
R: [56, 70, 58] L: [59, 84, 70]
R: [53, 66, 55] L: [57, 84, 71]
R: [54, 67, 56] L: [55, 82, 69]
R: [54, 66, 58] L: [55, 83, 70]
R: [54, 66, 54] L: [54, 82, 70]
R: [56, 67, 57] L: [55, 83, 70]
R: [52, 68, 57] L: [56, 82, 73]
R: [57, 69, 59] L: [55, 83, 70]
R: [55, 69, 59] L: [56, 85, 71]
R: [53, 68, 56] L: [54, 82, 70]
R: [55, 69, 58] L: [55, 82, 70]
R: [54, 67, 57] L: [55, 83, 70]
R: [55, 66, 55] L: [53, 83, 72]
R: [54, 67, 58] L: [53, 82, 69]
R: [54, 66, 56] L: [54, 81, 70]
R: [55, 67, 56] L: [55, 81, 68]
R: [54, 68, 56] L: [54, 84, 71]
R: [54, 68, 56] L: [56, 84, 72]
R: [53, 67, 55] L: [54, 85, 70]
R: [57, 70, 56] L: [54, 84, 71]
R: [55, 69, 56] L: [59, 84, 72]
R: [55, 70, 57] L: [55, 83, 70]
