R: [80, 29, 11] L: [78, 23, 9]
R: [80, 28, 9] L: [79, 22, 10]
R: [79, 28, 8] L: [79, 24, 11]
R: [81, 29, 11] L: [77, 21, 9]
R: [79, 27, 10] L: [78, 22, 10]
R: [80, 29, 8] L: [78, 23, 11]
R: [79, 27, 8] L: [78, 23, 10]
R: [79, 28, 10] L: [78, 22, 10]
R: [79, 29, 10] L: [80, 22, 11]
R: [80, 28, 9] L: [78, 21, 8]
R: [80, 28, 10] L: [80, 24, 12]
R: [81, 29, 9] L: [79, 23, 12]
R: [79, 29, 9] L: [80, 23, 11]
R: [79, 29, 9] L: [78, 22, 9]
R: [77, 28, 6] L: [79, 23, 12]
R: [79, 25, 10] L: [79, 23, 11]
R: [80, 28, 10] L: [81, 23, 12]
R: [83, 27, 10] L: [81, 24, 12]
R: [80, 28, 11] L: [78, 22, 11]
R: [78, 30, 8] L: [81, 24, 13]
R: [78, 28, 9] L: [79, 22, 11]
R: [80, 29, 9] L: [78, 22, 9]
R: [79, 30, 9] L: [79, 22, 13]
R: [78, 29, 8] L: [78, 21, 9]
R: [77, 27, 8] L: [78, 22, 9]
R: [78, 28, 8] L: [80, 23, 10]
R: [80, 28, 8] L: [82, 23, 12]
R: [80, 30, 10] L: [79, 24, 11]
R: [80, 30, 10] L: [80, 23, 11]
R: [82, 29, 12] L: [78, 22, 9]
R: [79, 29, 11] L: [78, 22, 9]
R: [80, 29, 10] L: [79, 23, 10]
R: [78, 27, 9] L: [78, 22, 10]
R: [80, 29, 9] L: [80, 23, 8]
R: [78, 29, 10] L: [79, 23, 11]
R: [77, 28, 6] L: [80, 23, 11]
R: [79, 29, 10] L: [78, 21, 5]
R: [79, 28, 10] L: [81, 24, 12]
R: [79, 27, 9] L: [77, 21, 4]
R: [82, 30, 10] L: [77, 23, 11]
R: [77, 26, 8] L: [79, 24, 11]
R: [79, 28, 8] L: [79, 23, 12]
R: [79, 29, 8] L: [77, 22, 10]
R: [79, 29, 9] L: [81, 24, 11]
R: [77, 29, 7] L: [79, 23, 10]
R: [79, 28, 9] L: [77, 24, 10]
R: [79, 28, 8] L: [79, 23, 8]
R: [79, 28, 9] L: [79, 24, 12]
R: [79, 28, 10] L: [79, 23, 12]
R: [80, 30, 9] L: [80, 22, 12]
R: [80, 27, 11] L: [79, 24, 10]
R: [76, 26, 7] L: [80, 23, 10]
R: [80, 29, 9] L: [78, 23, 10]
R: [81, 29, 9] L: [75, 24, 7]
R: [79, 29, 9] L: [75, 25, 12]
R: [79, 28, 10] L: [77, 21, 9]
R: [80, 30, 9] L: [78, 22, 9]
R: [79, 28, 9] L: [81, 25, 12]
R: [80, 28, 8] L: [81, 25, 11]
R: [83, 30, 11] L: [79, 23, 10]
R: [78, 26, 8] L: [79, 21, 10]
R: [80, 29, 10] L: [79, 23, 12]
R: [79, 27, 8] L: [81, 24, 10]
R: [81, 29, 11] L: [79, 24, 12]
R: [79, 27, 7] L: [78, 22, 10]
R: [79, 28, 9] L: [78, 22, 10]
R: [81, 29, 10] L: [79, 26, 10]
R: [80, 29, 8] L: [76, 23, 11]
R: [78, 28, 8] L: [78, 22, 9]
R: [80, 29, 9] L: [81, 22, 9]
R: [80, 29, 10] L: [80, 22, 11]
R: [77, 27, 7] L: [76, 25, 10]
R: [80, 29, 8] L: [78, 22, 10]
R: [78, 26, 8] L: [78, 22, 10]
R: [81, 28, 9] L: [78, 22, 9]
R: [78, 26, 10] L: [79, 23, 9]
R: [80, 29, 10] L: [78, 23, 10]
R: [78, 24, 9] L: [78, 24, 12]
R: [80, 29, 9] L: [81, 22, 12]
R: [80, 30, 10] L: [78, 20, 9]
R: [79, 27, 7] L: [79, 23, 11]
R: [80, 28, 8] L: [76, 23, 10]
R: [78, 26, 8] L: [78, 22, 10]
R: [77, 28, 9] L: [79, 22, 11]
R: [79, 27, 9] L: [75, 22, 8]
R: [82, 30, 13] L: [80, 23, 11]
R: [78, 26, 10] L: [81, 24, 12]
R: [76, 28, 7] L: [79, 22, 10]
R: [80, 29, 10] L: [78, 21, 9]
R: [80, 29, 10] L: [79, 24, 11]
R: [79, 27, 9] L: [78, 22, 9]
R: [79, 27, 9] L: [79, 23, 10]
R: [80, 27, 9] L: [79, 23, 11]
R: [78, 29, 11] L: [80, 23, 10]
R: [77, 27, 6] L: [78, 23, 10]
R: [77, 28, 8] L: [78, 22, 11]
R: [78, 27, 9] L: [79, 23, 11]
R: [79, 30, 9] L: [80, 24, 12]
R: [77, 27, 8] L: [80, 23, 10]
R: [79, 30, 8] L: [78, 21, 10]
R: [79, 29, 9] L: [81, 22, 10]
R: [79, 28, 10] L: [78, 22, 9]
